,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Samarai,64,PG,1553642289,100,-10.62,150.67,82.48,9.46
1,Aykhal,88,RU,1553642292,71,65.95,111.51,13.63,7.56
2,Kaitangata,12,NZ,1553642295,76,-46.28,169.85,56.43,22.88
3,Dikson,88,RU,1553642296,94,73.51,80.55,29.2,28.48
4,Sur,12,OM,1553642296,88,22.57,59.53,74.56,7.23
5,Pangnirtung,40,CA,1553637600,77,66.15,-65.72,5.0,6.44
6,Saskylakh,76,RU,1553642299,76,71.97,114.09,14.8,5.1
7,East London,68,ZA,1553642300,100,-33.02,27.91,68.58,5.44
8,Barrow,0,AR,1553642300,73,-38.31,-60.23,52.02,8.46
9,Camocim,92,BR,1553642300,90,-2.9,-40.84,78.3,4.09
10,Avarua,36,CK,1553641200,79,-21.21,-159.78,84.2,6.93
11,Yuncheng,68,CN,1553642301,66,35.03,111.0,53.37,2.64
12,Sakaiminato,20,JP,1553642296,81,35.55,133.23,42.8,6.93
13,Acajutla,0,SV,1553642146,47,13.59,-89.83,84.0,7.0
14,Cape Town,0,ZA,1553641991,63,-33.93,18.42,68.0,6.93
15,Ushuaia,75,AR,1553637600,66,-54.81,-68.31,53.6,5.82
16,Cherskiy,68,RU,1553642302,76,68.75,161.3,10.75,15.39
17,Pita,12,GN,1553642302,87,11.06,-12.4,69.12,2.64
18,Busselton,12,AU,1553642125,49,-33.64,115.35,55.99,14.5
19,Leningradskiy,76,RU,1553642303,89,69.38,178.42,30.69,22.55
20,Astoria,20,US,1553642301,50,46.19,-123.83,57.0,6.93
21,Sitka,24,US,1553642113,48,37.17,-99.65,68.0,17.0
22,Benghazi,0,LY,1553642304,96,32.12,20.07,62.05,12.03
23,Punta Arenas,90,CL,1553641947,71,-53.16,-70.91,53.6,16.11
24,Vostok,68,RU,1553642262,62,46.45,135.83,21.33,5.32
25,Bredasdorp,76,ZA,1553642159,68,-34.53,20.04,68.0,12.75
26,Puerto Ayora,75,EC,1553642148,70,-0.74,-90.35,84.2,11.41
27,Rikitea,20,PF,1553642308,97,-23.12,-134.97,80.01,16.06
28,Mount Gambier,90,AU,1553639400,87,-37.83,140.78,55.4,4.7
29,Albany,1,US,1553641993,21,42.65,-73.75,41.0,14.99
30,Nantucket,1,US,1553642300,100,41.28,-70.1,36.0,10.29
31,Honiara,32,SB,1553642241,82,-9.43,159.96,83.16,2.75
32,San Patricio,44,PY,1553642312,51,-26.98,-56.83,69.48,6.22
33,Bandarbeyla,88,SO,1553642313,100,9.49,50.81,79.47,3.2
34,Esperance,20,TT,1553642194,65,10.24,-61.45,82.4,9.17
35,Butaritari,20,KI,1553642313,100,3.07,172.79,84.24,17.29
36,Mumford,0,GH,1553642269,93,5.26,-0.76,78.21,5.99
37,Tuktoyaktuk,75,CA,1553637600,92,69.44,-133.03,19.4,9.17
38,Carnarvon,44,ZA,1553642314,47,-30.97,22.13,55.71,8.46
39,Rawlins,1,US,1553640900,34,41.79,-107.24,53.6,19.46
40,Padang,75,ID,1553637600,88,-0.92,100.36,78.8,8.05
41,Grants,40,US,1553640900,14,35.15,-107.85,68.0,17.22
42,Shimoda,20,JP,1553639585,46,34.7,138.93,53.01,6.93
43,Ulladulla,75,AU,1553642189,77,-35.36,150.48,62.01,9.17
44,Tasiilaq,24,GL,1553640600,62,65.61,-37.64,21.2,6.93
45,Mar del Plata,0,AR,1553642319,57,-46.43,-67.52,61.29,7.78
46,Hermanus,88,ZA,1553642159,77,-34.42,19.24,66.99,5.01
47,New Norfolk,0,AU,1553642295,50,-42.78,147.06,62.01,10.29
48,Dondo,20,MZ,1553637600,83,-19.62,34.74,82.4,8.05
49,Harper,1,US,1553642294,29,30.3,-99.24,77.0,9.17
50,Grootfontein,92,NA,1553642321,60,-19.56,18.1,68.22,8.9
51,Rizhao,92,CN,1553642321,63,35.43,119.46,55.53,10.69
52,Iqaluit,40,CA,1553637600,64,63.75,-68.52,-0.41,17.22
53,Tazovskiy,92,RU,1553642321,90,67.47,78.7,31.9,26.35
54,Ulaanbaatar,0,MN,1553641200,71,47.92,106.92,8.6,6.71
55,Arraial do Cabo,20,BR,1553637600,69,-22.97,-42.02,78.8,4.7
56,Chokurdakh,44,RU,1553642322,86,70.62,147.9,-2.98,15.61
57,Kenai,1,US,1553641744,56,60.55,-151.26,46.99,4.7
58,Umm Kaddadah,0,SD,1553642323,21,13.6,26.69,70.2,12.03
59,Adre,0,TD,1553642323,32,13.47,22.2,68.4,8.68
60,Inuvik,20,CA,1553637600,64,68.36,-133.71,39.2,5.82
61,Moindou,90,NC,1553641200,65,-21.69,165.68,82.4,11.41
62,Isiro,48,CD,1553642324,97,2.77,27.62,67.77,2.75
63,Tommot,68,RU,1553642324,72,58.97,126.27,9.27,5.66
64,Saint-Pierre,0,FR,1553642225,80,48.95,4.24,41.0,3.36
65,Srednekolymsk,80,RU,1553642325,59,67.46,153.71,4.59,12.15
66,Cidreira,88,BR,1553642325,82,-30.17,-50.22,67.45,6.55
67,Hambantota,0,LK,1553642285,100,6.12,81.12,78.84,8.68
68,Bluff,48,AU,1553642326,57,-23.58,149.07,83.83,9.24
69,Kpandae,12,GH,1553642329,66,8.46,-0.01,82.8,7.0
70,Severo-Kurilsk,48,RU,1553642330,97,50.68,156.12,29.56,5.55
71,Mataura,24,NZ,1553641805,73,-46.19,168.86,55.99,17.0
72,Guangyuan,64,CN,1553642323,74,32.43,105.86,54.0,2.64
73,Atasu,76,KZ,1553642330,88,48.68,71.64,36.99,2.98
74,Cabo San Lucas,75,MX,1553642187,36,22.89,-109.91,82.99,2.24
75,Bubaque,0,GW,1553642334,100,11.28,-15.83,77.8,15.5
76,Hilo,20,US,1553642310,57,19.71,-155.08,79.0,11.41
77,Sola,90,NO,1553642287,100,58.89,5.65,44.6,11.41
78,Sao Joao da Barra,0,BR,1553637600,69,-21.64,-41.05,78.8,6.93
79,Jamestown,0,AU,1553642335,83,-33.21,138.6,59.76,7.23
80,Vaini,92,IN,1553642335,94,15.34,74.49,71.82,1.19
81,Ampanihy,48,MG,1553642336,89,-24.69,44.75,70.15,2.98
82,Lukulu,20,ZM,1553642336,81,-14.38,23.24,69.84,4.21
83,Hobart,0,AU,1553642295,50,-42.88,147.33,62.01,10.29
84,Umuarama,0,BR,1553642339,69,-23.76,-53.31,73.8,7.78
85,Cuzama,40,MX,1553642147,54,20.73,-89.32,84.2,16.11
86,Bathsheba,20,BB,1553637600,74,13.22,-59.52,78.8,18.34
87,Garmsar,0,IR,1553642343,91,35.22,52.34,38.88,5.66
88,Port Elizabeth,1,US,1553642304,20,39.31,-74.98,48.0,5.82
89,Lamu,8,ID,1553642200,93,0.57,122.3,77.8,2.86
90,Upernavik,48,GL,1553642347,100,72.79,-56.15,4.14,4.21
91,Kapaa,90,US,1553642307,78,22.08,-159.32,78.8,5.82
92,Qaqortoq,24,GL,1553640600,73,60.72,-46.03,21.2,14.99
93,Semypolky,0,UA,1553642185,74,50.72,30.95,37.0,6.71
94,Yellowknife,90,CA,1553642128,68,62.45,-114.38,30.2,13.87
95,Akrata,8,GR,1553642202,96,38.15,22.32,54.0,3.0
96,Port Lincoln,0,AU,1553642348,93,-34.72,135.86,64.03,4.21
97,Srandakan,76,ID,1553642349,95,-7.94,110.25,76.41,2.42
98,Kanigiri,0,IN,1553642349,93,15.41,79.51,69.84,2.75
99,Port Alfred,36,ZA,1553642349,93,-33.59,26.89,65.61,9.35
100,Amahai,12,ID,1553642349,100,-3.31,129.0,84.01,4.76
101,Hofn,0,IS,1553642350,92,64.25,-15.21,39.42,15.61
102,Nome,1,US,1553642313,38,30.04,-94.42,77.0,10.29
103,Dingle,48,PH,1553642350,86,11.0,122.67,77.8,9.69
104,Magadan,36,RU,1553642350,100,59.56,150.8,18.85,11.7
105,Alakurtti,0,RU,1553642350,85,66.96,30.34,13.0,2.86
106,Arlit,0,NE,1553642351,35,18.74,7.39,71.23,1.97
107,Kodiak,1,US,1553642316,24,39.95,-94.76,62.01,10.29
108,Puerto Madryn,0,AR,1553642351,74,-42.77,-65.04,62.73,20.76
109,Yangambi,44,CD,1553642351,96,0.77,24.47,75.01,2.42
110,Georgetown,20,GY,1553637600,74,6.8,-58.16,82.4,6.93
111,Casablanca,75,MA,1553641928,93,33.6,-7.62,62.01,16.11
112,Alice Springs,32,AU,1553639400,45,-23.7,133.88,64.4,4.7
113,Mandalgovi,68,MN,1553642353,68,45.76,106.27,17.05,12.71
114,San Vicente,20,SV,1553642146,62,13.64,-88.78,87.8,5.82
115,Chifeng,0,CN,1553642261,54,42.27,118.96,26.64,6.22
116,Wonopringgo,12,ID,1553642354,94,-7.0,109.62,71.28,3.09
117,Toora-Khem,0,RU,1553642355,67,52.47,96.11,4.63,2.3
118,Canutama,8,BR,1553642355,82,-6.53,-64.38,81.13,4.65
119,Komsomolskiy,88,RU,1553642355,94,67.55,63.78,29.97,15.5
120,Guerrero Negro,48,MX,1553642355,65,27.97,-114.04,67.63,11.03
121,Bodden Town,20,KY,1553641204,83,19.28,-81.25,81.0,6.93
122,Nalut,48,LY,1553642356,61,31.86,10.98,55.3,6.67
123,Cedar City,1,US,1553641244,21,37.68,-113.06,60.8,18.34
124,Tiksi,0,RU,1553642356,68,71.64,128.87,-9.82,2.98
125,Mangrol,0,IN,1553642357,61,25.33,76.51,55.44,2.42
126,Flin Flon,75,CA,1553637600,52,54.77,-101.88,44.6,8.05
127,Viedma,0,AR,1553642357,61,-40.81,-62.99,56.88,10.8
128,Hualmay,8,PE,1553642358,78,-11.1,-77.61,69.25,4.43
129,Yulara,0,AU,1553637600,44,-25.24,130.99,60.8,6.93
130,Vana-Vigala,0,EE,1553642287,64,58.78,24.25,28.99,8.01
131,Khatanga,76,RU,1553642358,90,71.98,102.47,24.66,10.69
132,Kovdor,0,RU,1553642359,93,67.56,30.47,12.73,2.98
133,Panzhihua,0,CN,1553642359,43,26.59,101.72,62.05,5.21
134,Vao,0,EE,1553642360,82,59.1,26.19,23.71,7.45
135,Flinders,75,AU,1553642345,77,-34.58,150.85,71.01,9.17
136,Bodaybo,76,RU,1553642360,74,57.85,114.2,15.12,4.99
137,Hervey Bay,75,AU,1553642138,88,-25.3,152.85,82.99,6.93
138,Redmond,20,US,1553642267,35,47.67,-122.12,60.01,5.82
139,Katsuura,20,JP,1553641474,65,33.93,134.5,50.0,6.93
140,Lebu,20,ET,1553641200,55,8.96,38.73,64.4,6.93
141,Shubarshi,0,KZ,1553642365,68,48.59,57.19,22.9,8.01
142,Buraydah,0,SA,1553641200,47,26.33,43.97,57.2,9.17
143,Sharkan,80,RU,1553642207,94,57.3,53.87,30.99,4.0
144,Namibe,20,AO,1553642369,100,-15.19,12.15,76.59,8.34
145,Lakselv,44,NO,1553642125,73,70.05,24.96,21.2,23.04
146,Tupik,56,RU,1553642369,50,54.43,119.94,12.24,3.42
147,Hithadhoo,68,MV,1553642369,100,-0.6,73.08,82.48,5.66
148,Pevek,76,RU,1553642370,80,69.7,170.27,21.1,3.42
149,Baruun-Urt,44,MN,1553642370,70,46.68,113.28,15.7,5.66
150,Denizli,0,TR,1553640600,65,37.77,29.09,41.0,5.82
151,Yabucoa,40,PR,1553642215,65,18.05,-65.88,84.2,11.41
152,Krasnyy Chikoy,0,RU,1553642371,56,50.36,108.75,11.56,3.98
153,Grand Gaube,75,MU,1553642345,88,-20.01,57.66,78.8,2.24
154,Saldanha,0,PT,1553642243,31,41.42,-6.55,49.23,14.94
155,Ribeira Grande,32,PT,1553642371,96,38.52,-28.7,61.47,5.44
156,Alofi,75,NU,1553641200,66,-19.06,-169.92,84.2,16.11
157,Sozimskiy,0,RU,1553642372,92,59.74,52.25,26.86,5.99
158,Aklavik,20,CA,1553637600,64,68.22,-135.01,39.2,6.93
159,Saint-Joseph,0,FR,1553642285,60,43.56,6.97,50.0,5.82
160,Nemuro,0,JP,1553642373,93,43.32,145.57,33.61,24.67
161,Zhaotong,64,CN,1553642373,92,27.34,103.71,43.33,1.86
162,Kupang,75,ID,1553639400,94,-10.16,123.6,77.0,2.24
163,Coquimbo,75,CL,1553637600,87,-29.95,-71.34,57.2,8.05
164,Porto Novo,20,BR,1553637600,73,-23.68,-45.44,73.4,14.99
165,Clyde River,20,CA,1553637600,70,70.47,-68.59,-5.81,5.82
166,Hasaki,0,JP,1553641350,39,35.73,140.83,52.0,4.7
167,Saint-Philippe,1,CA,1553642355,39,45.36,-73.48,30.99,3.36
168,Sorland,92,NO,1553642375,93,67.67,12.69,41.53,24.34
169,Makokou,8,GA,1553642375,94,0.56,12.85,73.71,2.08
170,Atuona,8,PF,1553642375,100,-9.8,-139.03,82.44,13.15
171,Dunedin,92,NZ,1553642242,81,-45.87,170.5,59.0,14.0
172,Skelleftea,76,SE,1553642049,73,64.75,20.95,19.4,3.36
173,Ancud,0,CL,1553637600,59,-41.87,-73.83,66.2,6.93
174,Sao Felix do Xingu,80,BR,1553642376,98,-6.64,-51.99,72.81,2.19
175,Kirakira,8,SB,1553642377,100,-10.46,161.92,83.79,6.89
176,Durango,75,US,1553642212,15,37.28,-107.88,71.6,10.29
177,Pisco,0,PE,1553637600,30,-13.71,-76.2,71.6,19.46
178,Nisia Floresta,20,BR,1553637600,78,-6.09,-35.21,82.4,3.36
179,Alta Floresta,64,BR,1553642378,96,-9.87,-56.08,75.01,2.08
180,Salinopolis,68,BR,1553642378,100,-0.61,-47.36,79.15,8.01
181,Victoria,75,BN,1553639400,94,5.28,115.24,78.8,4.21
182,Geraldton,75,CA,1553637600,25,49.72,-86.95,37.4,13.87
183,Sarkand,12,KZ,1553642379,70,45.41,79.91,39.1,2.64
184,Galveston,1,US,1553642372,31,40.58,-86.19,46.99,6.93
185,Lemoore,75,US,1553642281,40,36.3,-119.78,75.0,6.93
186,Plainfield,20,US,1553642208,31,39.7,-86.4,48.99,10.29
187,Acapulco,5,MX,1553640120,66,16.86,-99.88,84.2,11.41
188,Shingu,0,JP,1553642380,100,33.72,135.99,56.61,6.89
189,Teguldet,0,RU,1553642380,77,57.31,88.17,16.15,5.99
190,Mahebourg,75,MU,1553642345,88,-20.41,57.7,78.8,2.24
191,Maine-Soroa,0,NE,1553642381,21,13.21,12.02,75.1,10.47
192,Christchurch,92,NZ,1553642290,68,-43.53,172.64,69.01,10.13
193,Fortuna,0,ES,1553642369,54,38.18,-1.13,57.2,10.29
194,Solnechnyy,68,RU,1553642382,73,50.72,136.64,19.71,3.65
195,Ponta do Sol,32,BR,1553642383,71,-20.63,-46.0,71.86,5.99
196,Constantine,75,DZ,1553639400,87,36.36,6.61,44.6,8.05
197,Siloam Springs,40,US,1553642154,32,36.19,-94.54,66.2,4.7
198,Thompson,75,CA,1553637600,52,55.74,-97.86,44.6,13.87
199,Sortland,75,NO,1553642147,100,68.69,15.42,32.0,14.99
200,Nikolskoye,0,RU,1553642359,79,59.7,30.79,28.0,11.18
201,Ahuimanu,75,US,1553642374,69,21.44,-157.84,82.4,9.17
202,Suratgarh,0,IN,1553642385,63,29.32,73.9,60.93,2.75
203,Mahibadhoo,0,MV,1553642385,100,3.78,72.97,84.01,9.91
204,Lata,0,IN,1553642386,72,30.78,78.62,40.45,2.86
205,Deputatskiy,20,RU,1553642386,74,69.3,139.9,-4.24,4.09
206,Tuatapere,56,NZ,1553641805,73,-46.13,167.69,55.99,17.0
207,Blackwater,0,GB,1553642387,80,51.33,-0.78,48.2,3.36
208,Sabang,92,PH,1553642387,89,13.72,123.58,78.84,12.71
209,Sisimiut,64,GL,1553642388,82,66.94,-53.67,6.66,3.53
210,Tiznit,88,MA,1553642388,99,29.7,-9.73,59.26,3.76
211,Zachary,1,US,1553642376,37,30.65,-91.16,70.0,11.41
212,Dakar,0,SN,1553639400,77,14.69,-17.45,68.0,14.99
213,Talnakh,92,RU,1553642389,93,69.49,88.39,28.53,19.75
214,Santa Cruz Cabralia,40,BR,1553637600,78,-16.28,-39.02,82.4,5.82
215,Ouadda,80,CF,1553642389,73,8.07,22.4,77.31,3.76
216,Key West,90,US,1553642302,80,47.93,-96.78,36.0,18.34
217,Solvychegodsk,88,RU,1553642393,94,61.33,46.92,30.51,5.44
218,Pundaguitan,20,PH,1553642393,100,6.37,126.17,80.64,4.65
219,Quimper,0,FR,1553642287,87,48.0,-4.1,44.6,8.05
220,Kalianget,40,ID,1553639400,88,-7.35,109.91,78.8,2.24
221,Kotma,0,IN,1553642394,77,23.2,81.98,57.1,2.64
222,College,75,US,1553642223,70,64.86,-147.8,50.0,3.36
223,Talcahuano,90,CL,1553637600,93,-36.72,-73.12,53.6,9.17
224,Ust-Kulom,24,RU,1553642394,88,61.69,53.69,26.23,4.99
225,Gunjur,0,GM,1553637600,73,13.18,-16.76,69.8,6.93
226,Butembo,0,CD,1553642395,92,0.12,29.29,59.8,2.53
227,Half Moon Bay,75,US,1553642365,76,37.46,-122.43,69.01,4.7
228,Mutoko,8,ZW,1553642395,88,-17.4,32.23,62.86,3.65
229,Balclutha,12,NZ,1553642396,76,-46.24,169.74,56.43,22.88
230,Lazaro Cardenas,75,MX,1553642166,30,28.39,-105.62,82.4,6.93
231,Pacific Grove,90,US,1553642203,63,36.62,-121.92,68.0,4.7
232,Tete,20,MZ,1553641200,88,-16.16,33.59,71.6,9.01
233,Goundam,44,ML,1553642397,44,16.42,-3.66,82.98,5.21
234,Grand-Santi,68,GF,1553642397,93,4.27,-54.38,75.42,1.97
235,Beira,0,ES,1553642349,57,43.2,-8.36,55.99,2.24
236,Arica,0,CL,1553637600,60,-18.48,-70.32,73.4,6.93
237,Shitkino,48,RU,1553642398,69,56.37,98.35,11.16,2.3
238,Turan,0,RU,1553642398,59,52.15,93.92,1.98,2.08
239,Mujiayingzi,0,CN,1553642398,54,42.12,118.78,26.64,6.22
240,Storforshei,75,NO,1553642313,92,66.4,14.52,30.0,5.82
241,Muhos,0,FI,1553642123,92,64.81,26.0,15.8,3.36
242,Grand-Lahou,8,CI,1553642403,86,5.24,-5.0,78.84,5.66
243,Itacoatiara,36,BR,1553642403,86,-3.14,-58.44,80.05,3.42
244,Pochutla,5,MX,1553641140,91,15.74,-96.47,95.0,23.04
245,Jalu,0,LY,1553642403,46,29.03,21.55,52.51,2.75
246,Galle,1,US,1553642401,31,29.74,-97.91,78.8,9.17
247,Keti Bandar,32,PK,1553642404,90,24.14,67.45,76.68,10.25
248,Kavieng,36,PG,1553642404,98,-2.57,150.8,85.05,7.45
249,Shahganj,40,IN,1553639400,82,26.06,82.68,68.0,2.24
250,Myanaung,0,MM,1553642405,96,18.28,95.32,67.81,2.98
251,Rio Tuba,0,PH,1553642405,90,8.51,117.43,81.76,12.93
252,Atbasar,0,KZ,1553642405,72,51.81,68.36,13.86,3.2
253,Shenjiamen,48,CN,1553642405,87,29.96,122.3,56.65,15.95
254,Kudat,75,MY,1553637600,88,6.89,116.84,78.8,3.36
255,Sobolevo,24,RU,1553642406,70,54.43,31.9,19.44,3.42
256,Sao Jose da Coroa Grande,88,BR,1553642406,93,-8.9,-35.15,79.33,5.21
257,Iwanai,88,JP,1553642406,99,42.97,140.51,34.47,20.98
258,Riyadh,0,SA,1553641200,44,24.63,46.72,57.2,2.24
259,Vardo,1,US,1553642226,30,39.62,-77.74,46.4,5.82
260,Amapa,20,HN,1553641200,58,15.09,-87.97,84.2,16.11
261,Ossora,36,RU,1553642407,97,59.24,163.07,17.95,11.03
262,Luderitz,24,NA,1553642408,89,-26.65,15.16,59.67,8.68
263,Ust-Tarka,76,RU,1553642408,97,55.56,75.71,32.04,11.14
264,Tautira,75,PF,1553641943,66,-17.73,-149.15,87.8,10.29
265,Recea,0,MD,1553641943,74,47.23,28.58,32.0,8.05
266,Vidim,90,CZ,1553642407,75,50.47,14.53,43.0,9.17
267,Sambava,12,MG,1553642409,100,-14.27,50.17,81.58,4.32
268,Cam Ranh,40,VN,1553639400,78,11.92,109.15,80.6,4.7
269,Codrington,90,AU,1553642288,94,-28.95,153.24,69.8,12.75
270,Buala,68,SB,1553642413,84,-8.15,159.59,85.59,5.66
271,Tay Ninh,64,VN,1553642413,69,11.3,106.1,79.96,5.32
272,Kutoarjo,68,ID,1553642413,98,-7.72,109.9,79.47,3.98
273,Kholm-Zhirkovskiy,8,RU,1553642414,80,55.52,33.47,21.24,6.55
274,El Rincon,90,MX,1553642236,47,28.09,-110.77,91.0,14.99
275,Mount Isa,90,AU,1553639400,100,-20.73,139.49,75.2,13.87
276,Doha,90,QA,1553639400,77,25.29,51.53,69.8,18.34
277,Tessalit,100,ML,1553642418,24,20.2,1.01,82.48,10.36
278,Kozhva,88,RU,1553642418,86,65.11,57.05,30.96,10.13
279,Klaksvik,64,FO,1553640600,75,62.23,-6.59,44.6,12.75
280,Mettur,12,IN,1553642418,83,11.8,77.8,62.73,2.42
281,Manadhoo,0,MV,1553642418,100,5.77,73.38,84.01,4.88
282,Balabac,0,PH,1553642419,99,7.99,117.06,81.85,14.16
283,Marsh Harbour,0,BS,1553642419,99,26.54,-77.06,76.68,10.47
