,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
284,Lubben,0,DE,1553642407,86,51.95,13.9,42.01,8.05
285,Neryungri,44,RU,1553642419,68,56.66,124.71,7.29,9.13
286,Dumbravita,32,RO,1553642399,64,45.77,25.43,37.0,1.99
287,Euclides da Cunha,24,BR,1553642420,97,-10.51,-39.01,71.05,4.21
288,Bonanza,36,NI,1553642424,60,14.03,-84.62,79.15,4.65
289,Alcaniz,0,ES,1553642151,93,41.05,-0.13,33.39,4.54
290,Touros,40,BR,1553637600,88,-5.2,-35.46,80.6,2.86
291,Do Gonbadan,75,IR,1553641200,93,30.36,50.8,53.6,1.07
292,Karratha,8,AU,1553642182,96,-20.74,116.85,79.33,5.88
293,Bethel,75,US,1553640780,80,60.79,-161.76,41.0,20.8
294,Emba,20,CY,1553642146,76,34.81,32.42,51.8,8.05
295,Veraval,0,FR,1553642405,93,49.65,0.71,43.0,4.7
296,Castro,0,CL,1553637600,59,-42.48,-73.76,66.2,6.93
297,Ilebo,12,CD,1553642427,91,-4.33,20.59,75.06,2.08
298,Kuryk,88,KZ,1553642428,82,43.18,51.68,42.21,10.69
299,Puri,24,ID,1553642375,92,-7.54,112.45,73.89,3.76
300,Khani,40,GE,1553639400,100,41.96,42.96,37.4,2.24
301,Omboue,64,GA,1553642168,100,-1.57,9.26,83.43,9.46
302,Chuy,92,UY,1553642429,98,-33.69,-53.46,63.76,13.04
303,Velsk,88,RU,1553642429,87,61.07,42.1,26.5,2.64
304,Hede,88,SE,1553642404,64,60.45,15.49,35.01,5.82
305,Lucea,20,JM,1553642166,74,18.44,-78.17,81.0,5.82
306,Port Macquarie,90,AU,1553642105,64,-31.43,152.91,73.0,4.7
307,Bouloupari,90,NC,1553641200,65,-21.87,166.05,82.4,11.41
308,Konstantinovskiy,75,RU,1553639400,92,57.83,39.59,32.0,13.42
309,Qaanaaq,32,GL,1553642430,83,77.48,-69.36,-14.41,13.49
310,Lannion,0,FR,1553642193,93,48.73,-3.46,46.99,3.36
311,Tsiroanomandidy,56,MG,1553642431,95,-18.77,46.05,63.9,2.86
312,Mandera,32,ET,1553642111,18,3.94,41.86,75.0,3.76
313,Varias,0,RO,1553642348,59,46.02,20.95,39.99,5.82
314,Pangody,64,RU,1553642432,93,65.85,74.49,31.59,20.09
315,Kingman,1,US,1553642312,11,35.19,-114.05,84.99,19.46
316,Cayenne,20,GF,1553639400,78,4.94,-52.33,78.8,5.82
317,Russell,75,AR,1553641200,67,-33.01,-68.8,60.8,10.29
318,Torbay,90,CA,1553642156,67,47.66,-52.73,26.01,10.29
319,Iracoubo,80,GF,1553642433,72,5.48,-53.21,79.06,6.22
320,Cassia,90,US,1553642433,82,28.89,-81.47,77.0,6.93
321,Broome,0,GB,1553642412,81,52.47,1.45,48.99,3.36
322,Kurchum,32,KZ,1553642434,67,48.57,83.65,13.5,2.64
323,Barguzin,0,RU,1553642434,63,53.62,109.63,-2.08,2.08
324,Itarema,44,BR,1553642435,92,-2.92,-39.92,77.49,3.76
325,Lucapa,76,AO,1553642435,92,-8.42,20.74,68.04,2.75
326,Bambous Virieux,75,MU,1553642345,88,-20.34,57.76,78.8,2.24
327,Provideniya,75,RU,1553639400,86,64.42,-173.23,33.8,35.79
328,Airai,48,TL,1553642436,89,-8.93,125.41,74.65,1.97
329,Knysna,80,ZA,1553641200,87,-34.04,23.05,59.0,5.82
330,Susangerd,0,IR,1553641200,87,31.56,48.19,57.2,2.24
331,Kaeo,92,NZ,1553641684,81,-35.1,173.78,71.01,10.0
332,Tanggulangin,68,ID,1553642437,98,-6.99,111.85,74.79,4.21
333,Voyvozh,32,RU,1553642437,85,62.89,54.96,28.8,11.03
334,Bonavista,56,CA,1553642167,72,48.65,-53.11,26.01,3.0
335,Toowoomba,90,AU,1553642359,77,-27.56,151.95,71.01,19.46
336,Hoi An,20,VN,1553639400,94,15.88,108.33,71.6,1.12
337,Lotoshino,0,RU,1553642438,77,56.23,35.64,18.58,9.24
338,Rovnoye,92,RU,1553642439,91,50.78,46.06,37.35,7.45
339,Kongolo,20,CD,1553642439,97,-5.39,27.0,68.98,2.19
340,Kloulklubed,90,PW,1553640600,83,7.04,134.26,80.6,8.05
341,Camacha,40,PT,1553641200,82,33.08,-16.33,62.6,24.16
342,Festus,1,US,1553642417,34,38.22,-90.4,55.0,6.93
343,Ust-Barguzin,0,RU,1553642440,60,53.41,109.03,-0.01,2.3
344,Norman Wells,20,CA,1553637600,64,65.28,-126.83,39.2,9.17
345,Magan,0,RU,1553639400,76,62.1,129.53,-4.01,4.47
346,Saint George,75,GR,1553640600,81,39.45,22.34,51.8,2.42
347,Rundu,76,NA,1553642441,35,-17.91,19.77,76.5,6.11
348,Sao Filipe,0,CV,1553642441,100,14.9,-24.5,69.61,12.03
349,Faanui,64,PF,1553642442,100,-16.48,-151.75,84.73,7.34
350,Ambulu,56,ID,1553642442,100,-8.35,113.61,78.21,3.53
351,Hami,0,CN,1553642442,84,42.84,93.51,37.71,3.31
352,Erzin,75,TR,1553640600,62,36.95,36.2,57.2,11.41
353,Lavrentiya,88,RU,1553642443,95,65.58,-170.99,33.12,31.27
354,Dicabisagan,100,PH,1553642443,100,17.08,122.42,74.97,7.56
355,Fleet,0,GB,1553642425,80,51.28,-0.84,48.2,3.36
356,Chulman,56,RU,1553642443,65,56.84,124.9,8.5,6.44
357,Sistranda,75,NO,1553642373,93,63.73,8.83,44.01,21.92
358,Bilibino,68,RU,1553642444,80,68.06,166.44,20.11,3.65
359,Baykit,0,RU,1553642445,63,61.68,96.39,5.8,3.09
360,Kayan,48,MM,1553639400,94,16.91,96.56,75.2,2.24
361,Longyearbyen,75,NO,1553640600,73,78.22,15.63,19.4,11.41
362,Acari,24,BR,1553642446,95,-6.44,-36.64,71.37,5.44
363,Dubbo,0,AU,1553639880,56,-32.25,148.6,68.0,18.34
364,Ust-Maya,44,RU,1553642446,71,60.42,134.54,8.23,4.54
365,Grindavik,75,IS,1553642082,69,63.84,-22.43,39.99,18.34
366,Anchorage,1,US,1553642231,45,61.22,-149.89,48.99,3.36
367,Constitucion,75,MX,1553642417,11,23.99,-104.67,82.4,11.41
368,Ayan,8,TR,1553642450,69,40.67,33.6,23.13,2.75
369,Miri,0,NG,1553642451,37,10.31,9.75,67.18,5.66
370,Olinda,75,EC,1553642256,58,-2.03,-79.75,87.8,2.24
371,Kurkino,68,RU,1553642454,96,53.42,38.66,30.55,5.66
372,Beyneu,56,KZ,1553642455,66,45.32,55.19,38.25,8.79
373,Mongo,48,CF,1553642455,91,4.83,22.92,74.56,3.09
374,Khorramshahr,0,IR,1553641200,77,30.43,48.18,60.8,2.24
375,Ishigaki,40,JP,1553637600,88,24.34,124.16,62.6,1.12
376,Trapani,40,IT,1553642184,71,38.02,12.54,59.0,17.22
377,Karasburg,0,NA,1553642456,54,-28.01,18.75,58.59,2.86
378,Adamovka,0,RU,1553642456,61,51.52,59.94,11.61,2.75
379,Morwell,0,AU,1553642249,60,-38.24,146.4,61.0,2.98
380,La Ronge,90,CA,1553638440,98,55.1,-105.3,35.6,5.82
381,Kommunisticheskiy,68,RU,1553642457,76,61.68,64.48,32.58,10.69
382,Nouadhibou,0,MR,1553637600,88,20.93,-17.03,66.2,9.17
383,Nanga Eboko,0,CM,1553642460,77,4.68,12.37,75.28,9.24
384,Kichera,36,RU,1553642461,74,55.93,110.1,3.55,1.97
385,Lompoc,1,US,1553642420,64,34.64,-120.46,68.0,10.29
386,Kahului,75,US,1553642129,69,20.89,-156.47,82.4,6.93
387,Husum,88,DE,1553642446,93,54.49,9.05,44.01,6.93
388,Adrar,40,DZ,1553638860,77,27.87,-0.29,66.2,8.05
389,Sangar,0,RU,1553642462,70,63.92,127.47,-2.3,2.42
390,Khatra,76,IN,1553642462,94,22.98,86.85,65.52,3.98
391,Strezhevoy,75,RU,1553639400,90,60.73,77.6,32.0,11.18
392,Nishihara,20,JP,1553642369,30,35.74,139.53,62.01,3.36
393,Urusha,12,RU,1553642466,48,54.05,122.9,13.95,4.54
394,Terre Haute,1,US,1553642435,29,39.47,-87.41,52.0,6.93
395,Sitrah,0,BH,1553641200,72,26.15,50.62,68.0,10.29
396,Rugeley,75,GB,1553642408,61,52.76,-1.94,46.99,6.93
397,Nizhniy Kuranakh,80,RU,1553642467,70,58.84,125.49,9.99,5.55
398,Vila Franca do Campo,40,PT,1553642424,71,37.72,-25.43,57.2,11.41
399,Mahajanga,20,MG,1553641200,88,-15.72,46.32,78.8,4.7
400,Port Hardy,40,CA,1553637600,76,50.7,-127.42,50.0,13.87
401,Havre-Saint-Pierre,90,CA,1553637600,43,50.23,-63.6,15.8,17.22
402,Nampula,20,MZ,1553642468,91,-15.12,39.26,68.35,2.98
403,Ninotsminda,75,GE,1553639400,92,41.27,43.59,28.4,1.12
404,Seydi,0,NE,1553642469,21,13.34,7.75,73.35,10.25
405,De Aar,80,ZA,1553642285,48,-30.65,24.01,57.6,7.23
406,Staroutkinsk,8,RU,1553642469,88,57.23,59.33,26.01,7.23
407,Monroe,1,US,1553642469,59,41.91,-83.4,46.0,8.05
408,Ahipara,88,NZ,1553642470,69,-35.17,173.16,73.21,17.29
409,Port Hedland,40,AU,1553639400,100,-20.31,118.58,77.0,5.82
410,Wageningen,90,NL,1553642466,86,51.98,5.66,46.0,3.36
411,Victoria,75,BN,1553639400,94,5.28,115.24,78.8,4.21
412,Kruisfontein,12,ZA,1553642244,85,-34.0,24.73,58.9,8.23
413,Senanga,44,ZM,1553642475,59,-16.1,23.3,72.81,6.11
414,Waingapu,36,ID,1553642475,100,-9.65,120.26,76.59,3.98
415,Haines Junction,12,CA,1553642475,47,60.75,-137.51,38.7,2.64
416,Markova,0,RU,1553642144,84,52.21,104.21,10.0,4.47
417,Yacuiba,90,AR,1553637600,100,-22.01,-63.68,62.6,6.93
418,Taber,40,CA,1553641459,26,49.79,-112.14,55.4,29.97
419,San Rafael,88,AR,1553642429,55,-34.61,-68.33,58.45,5.99
420,Nueva Loja,0,EC,1553637600,62,0.08,-76.88,89.6,4.7
421,Araouane,92,ML,1553642478,18,18.9,-3.53,90.58,7.78
422,Borujerd,76,IR,1553641200,93,33.89,48.76,46.4,9.17
423,Paamiut,48,GL,1553642245,100,61.99,-49.67,22.5,6.89
424,Kieta,24,PG,1553642479,96,-6.22,155.63,83.11,2.86
425,Okahandja,76,NA,1553641236,49,-21.98,16.91,68.0,4.7
426,North Bend,1,US,1553642420,62,43.41,-124.22,59.0,9.17
427,Consuelo,20,EC,1553642480,96,-1.51,-79.92,81.13,3.2
428,Ilulissat,80,GL,1553640600,85,69.22,-51.1,10.4,9.17
429,The Valley,20,AI,1553642178,73,18.22,-63.06,80.6,11.41
430,Natal,20,BR,1553637600,78,-5.81,-35.21,82.4,3.36
431,Fillan,75,NO,1553642373,93,63.6,8.98,44.01,21.92
432,Damghan,20,IR,1553642487,100,36.17,54.34,45.0,3.2
433,Ankazoabo,76,MG,1553642487,94,-22.29,44.51,67.77,4.09
434,Ilhabela,64,BR,1553642487,98,-23.78,-45.36,78.7,11.48
435,Narrabri,12,AU,1553637600,52,-30.33,149.78,66.2,14.99
436,Port Augusta,0,AU,1553642483,82,-32.49,137.76,64.99,2.24
437,Khandbari,0,NP,1553642488,75,27.38,87.21,26.86,1.63
438,Shush,0,RU,1553642488,73,55.6,89.45,18.54,8.12
439,Damietta,0,EG,1553637600,82,31.42,31.81,60.8,11.41
440,Chernyshevskiy,20,RU,1553642496,73,63.01,112.47,5.31,2.98
441,Kampot,20,KH,1553639400,69,10.62,104.18,82.4,14.99
442,Hirara,75,JP,1553641200,77,24.8,125.28,68.0,3.36
443,Hamilton,90,BM,1553642177,88,32.3,-64.78,69.8,19.46
444,San Cristobal,75,EC,1553642164,55,-0.39,-78.55,66.2,8.05
445,Pemba,92,MZ,1553642498,100,-12.97,40.52,79.74,9.8
446,Greifswald,0,DE,1553641690,78,54.1,13.38,35.01,4.65
447,Fort Nelson,75,CA,1553637600,42,58.81,-122.69,48.2,2.24
448,Oistins,20,BB,1553637600,74,13.07,-59.53,78.8,18.34
449,Arman,68,RU,1553642499,65,59.7,150.17,15.61,7.9
450,Wendo,48,ET,1553642499,91,6.6,38.42,57.06,3.31
451,Mildura,0,AU,1553642141,58,-34.18,142.16,68.0,4.7
452,Bud,92,NO,1553642194,81,62.91,6.91,42.8,14.99
453,Ixtapa,5,MX,1553642422,74,20.71,-105.21,78.8,12.75
454,Caravelas,0,BR,1553642206,100,-17.73,-39.27,82.3,10.69
455,Turukhansk,0,RU,1553642500,82,65.8,87.96,22.45,18.19
456,Xichang,0,CN,1553642501,40,27.88,102.25,52.96,2.08
457,Mabaruma,0,GY,1553642501,73,8.2,-59.78,79.56,9.8
458,Sucua,75,EC,1553637600,61,-2.46,-78.17,77.0,8.05
459,Batamshinskiy,0,KZ,1553637600,79,50.56,58.27,24.8,6.71
460,Tibati,0,CM,1553642508,30,6.47,12.63,72.58,9.01
461,San Carlos de Bariloche,0,AR,1553641200,17,-41.13,-71.31,62.6,5.82
462,Merta,0,IN,1553642508,51,26.65,74.03,60.75,3.98
463,Maputo,75,MZ,1553641200,88,-25.97,32.57,71.6,16.11
464,Pesaro,0,IT,1553642464,61,43.91,12.91,52.0,10.29
465,Lasa,20,CY,1553642146,76,34.92,32.53,51.8,8.05
466,Brae,92,GB,1553640600,93,60.4,-1.35,46.4,3.36
467,Minna,0,NG,1553642510,44,9.62,6.55,71.01,5.55
468,Avon Park,1,US,1553642247,50,27.6,-81.51,80.01,13.87
469,Soe,0,EE,1553642296,79,57.91,26.05,28.4,5.82
470,Tigzirt,76,DZ,1553642180,79,36.57,4.2,55.0,2.42
471,Takoradi,8,GH,1553642259,100,4.89,-1.75,80.68,6.11
472,Petropavlovsk-Kamchatskiy,0,RU,1553639400,50,53.05,158.65,28.4,17.9
473,Curuca,12,BR,1553642511,67,-2.52,-61.06,85.0,6.33
474,Port Blair,80,IN,1553642511,100,11.67,92.75,80.91,7.45
475,Bayangol,0,MN,1553642512,65,48.91,106.09,8.73,2.86
476,Peniche,0,PT,1553642447,54,39.36,-9.38,68.0,1.12
477,Nanortalik,76,GL,1553642512,100,60.14,-45.24,24.66,24.23
478,Mogadishu,8,SO,1553642512,96,2.04,45.34,83.38,15.73
479,Kabanjahe,40,ID,1553637600,100,3.1,98.49,77.0,4.7
480,Tutoia,20,BR,1553636700,69,-2.76,-42.27,82.4,5.82
481,Inongo,24,CD,1553642513,95,-1.93,18.29,72.31,2.42
482,Kuldiga,0,LV,1553640600,74,56.97,21.96,33.8,5.82
483,Sao Jose de Ribamar,75,BR,1553641200,100,-2.56,-44.05,77.0,4.7
484,Sinnamary,88,GF,1553642514,92,5.38,-52.96,80.55,11.48
485,Togur,8,RU,1553642514,85,58.36,82.83,18.13,8.79
486,Turinskaya Sloboda,0,RU,1553642514,84,57.62,64.39,26.91,10.02
487,Te Anau,24,NZ,1553642515,73,-45.41,167.72,51.16,11.7
488,Maloy,68,ID,1553642515,78,1.0,118.1,80.55,2.98
489,Tartagal,90,AR,1553637600,100,-22.52,-63.8,62.6,6.93
490,Soanierana Ivongo,0,MG,1553642515,100,-16.92,49.59,78.66,1.97
491,Meulaboh,88,ID,1553642519,100,4.14,96.13,79.6,2.75
492,Xiaoweizhai,0,CN,1553642519,83,26.23,107.51,63.18,8.34
493,Kapchorwa,0,UG,1553642519,89,1.4,34.45,59.26,1.97
494,Kalmunai,0,LK,1553642520,97,7.42,81.82,66.96,2.75
495,Matara,48,PE,1553642520,92,-13.74,-72.9,46.53,1.74
496,Rovinj,0,HR,1553642151,45,45.08,13.64,48.99,3.36
497,Port Shepstone,80,ZA,1553642521,100,-30.74,30.45,68.04,1.97
498,Nhulunbuy,92,AU,1553639400,88,-12.18,136.78,82.4,11.25
499,Poum,92,MK,1553642524,71,41.28,20.71,35.01,1.63
500,Aksarka,88,RU,1553642525,95,66.56,67.8,31.68,19.86
501,Tolaga Bay,8,NZ,1553642525,54,-38.37,178.3,73.08,14.38
502,Vestmannaeyjar,92,IS,1553642525,85,63.44,-20.27,41.4,20.31
503,Euclid,1,US,1553642524,29,41.59,-81.53,39.2,4.7
504,Saint Anthony,1,US,1553642460,28,43.97,-111.68,59.0,18.34
505,Kudahuvadhoo,0,MV,1553642526,99,2.67,72.89,84.78,11.14
506,Anadyr,75,RU,1553641947,86,64.73,177.51,30.2,35.79
507,Loukhi,0,RU,1553642527,77,66.08,33.04,14.49,4.99
508,Whyalla,0,AU,1553637600,82,-33.04,137.58,55.4,2.24
509,Tuusula,0,FI,1553642525,58,60.4,25.02,28.4,5.82
510,Gotsu,0,JP,1553641200,58,35.01,132.22,53.6,13.87
511,Valdivia,0,CL,1553637600,32,-39.81,-73.25,80.6,5.82
512,Dwarka,0,IN,1553639400,56,28.58,77.04,68.0,3.36
513,Manokwari,76,ID,1553642531,100,-0.87,134.08,80.95,9.01
514,Lorengau,88,PG,1553642531,95,-2.02,147.27,83.65,8.23
515,Blairmore,90,CA,1553642154,64,49.61,-114.44,48.2,8.05
516,Ardakan,20,IR,1553641200,93,32.31,54.02,55.4,2.24
517,Harlingen,90,US,1553642418,78,26.19,-97.7,73.4,11.41
518,Murray Bridge,0,AU,1553642428,80,-35.12,139.28,72.0,1.99
519,Sundsvall,92,SE,1553642487,92,62.39,17.31,32.0,4.99
520,Necochea,0,AR,1553642479,70,-38.55,-58.74,57.99,1.99
521,Nordby,76,DK,1553642380,100,55.45,8.41,46.0,8.05
522,Fairbanks,75,US,1553642407,65,64.84,-147.72,50.0,5.99
523,Lakatoro,80,VU,1553642537,90,-16.11,167.42,82.03,10.47
524,Garissa,12,KE,1553642537,56,-0.46,39.64,80.73,8.01
525,Chenzhou,12,CN,1553642537,91,25.81,113.03,67.5,9.46
526,San Severo,92,IT,1553642115,91,41.69,15.38,46.99,12.15
527,Souillac,0,FR,1553642469,49,45.6,-0.6,46.99,9.17
528,Aleksandrov Gay,80,RU,1553642538,88,50.14,48.57,35.5,11.7
529,Tignere,0,CM,1553642538,43,7.37,12.65,64.26,4.43
530,Fomboni,0,KM,1553642539,100,-12.28,43.74,84.33,6.78
531,Soyo,12,AO,1553642539,97,-6.13,12.37,75.96,4.32
532,Fruitvale,48,CA,1553642539,88,49.12,-117.55,36.09,1.19
533,Lebanon,1,US,1553642488,29,43.64,-72.25,33.8,8.05
534,Marondera,0,ZW,1553642540,90,-18.19,31.55,57.69,3.65
535,Dudinka,88,RU,1553642540,93,69.41,86.18,29.43,25.79
536,Powell,1,US,1553642426,33,40.16,-83.08,48.2,9.17
537,Tiarei,75,PF,1553641943,66,-17.53,-149.33,87.8,10.29
538,Thinadhoo,36,MV,1553642541,100,0.53,72.93,82.75,5.77
539,San Luis,100,AR,1553642279,91,-33.3,-66.34,60.75,3.98
540,Los Llanos de Aridane,80,ES,1553642459,77,28.66,-17.92,64.4,19.46
541,Buliwao,12,PH,1553642543,73,16.48,121.23,70.02,2.75
542,Sfantu Gheorghe,24,RO,1553642487,93,44.65,26.83,45.0,2.24
543,Wellington,92,NZ,1553642180,82,-41.29,174.78,69.01,33.33
544,Faya,0,SA,1553641200,72,18.39,42.45,60.8,9.17
545,Kandrian,32,PG,1553642547,78,-6.21,149.55,84.33,3.98
546,Poronaysk,68,RU,1553642547,76,49.22,143.1,22.23,5.44
547,Hit,56,IQ,1553642264,84,33.64,42.83,46.62,3.09
548,Jiazi,40,CN,1553637600,94,19.61,110.49,73.4,2.24
549,Pitea,0,SE,1553642049,67,65.32,21.48,19.4,4.65
550,Westport,80,IE,1553642522,78,53.8,-9.52,50.0,1.99
551,Evensk,64,RU,1553642551,100,61.92,159.24,17.41,13.27
552,Otaki,0,JP,1553642524,41,35.95,138.94,62.01,3.0
553,Chernyakhovsk,0,RU,1553642552,85,54.64,21.81,26.86,8.79
554,Omsukchan,64,RU,1553642555,69,62.53,155.8,2.16,13.82
555,Carutapera,80,BR,1553642559,95,-1.2,-46.02,77.67,3.98
556,Bintulu,75,MY,1553637600,100,3.17,113.03,75.2,3.36
557,Bone,75,ID,1553639400,94,-10.32,123.57,77.0,2.24
558,Pervomayskiy,92,RU,1553642560,93,53.24,40.29,30.69,3.42
559,Maragogi,88,BR,1553642560,93,-9.01,-35.22,79.33,5.21
560,Ijui,76,BR,1553642454,67,-28.39,-53.91,64.17,11.81
561,Krasnyy Yar,92,RU,1553642560,91,50.7,44.73,34.6,9.24
562,Ouesso,48,CG,1553642561,93,1.61,16.05,75.01,2.3
563,Mamatid,75,PH,1553642385,65,14.24,121.15,82.99,6.93
564,Manakara,20,MG,1553642561,100,-22.14,48.01,75.01,6.89
565,Zilair,24,RU,1553642561,77,52.23,57.44,13.59,2.53
566,Idlib,75,SY,1553640600,62,35.93,36.64,57.2,11.41
567,Vilhena,64,BR,1553642436,94,-12.74,-60.15,72.31,1.63
568,Xinmin,0,CN,1553639400,34,42.0,122.83,35.6,11.18
569,Rawson,0,AR,1553642541,45,-43.3,-65.11,62.73,14.72
